uuid,title_en,title_fr,short_form_en,short_form_fr,department_number,umd_number,open_canada_id
215f5df1-c82f-4b31-8899-735916a9c80c,Farm Credit Canada,Financement agricole Canada,FCC,FAC,23,180,fcc-fac
dfcb28fb-9a1f-48e4-8c3d-a916257ca7cf,Farm Products Council of Canada,Conseil des produits agricoles du Canada,FPCC,CPAC,200,48,fpcc-cpac
f0942d98-3f6b-4614-b6bc-0a0bf6284cff,Federal Bridge Corporation,Société des ponts fédéraux,FBCL,SPFL,254,181,fbcl-spfl
d83ab29c-c1e3-437c-97bb-bb5984ae6666,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l'Ontario,FEDNOR,FEDNOR,,,fednor
1918b8ae-b298-4809-b5db-43100f93aeac,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,FedDev Ontario,FedDev Ontario,21,39,feddevontario
59ce1854-3540-41a8-8e56-8bea280256fc,Federal Public Sector Labour Relations and Employment Board,Commission des relations de travail et de l'emploi dans le secteur public fédéral,FPSLREB,CRTESPF,,103,fpslreb-crtespf
7b161522-87d8-5213-bb3d-409a853cf241,Federal Public Service Health Care Plan Administration Authority,Administration du Régime de soins de santé de la fonction publique fédérale,PSHCP,RSSFP,,573,pshcp-rssfp
f5ffe147-68ec-4dc5-aa38-825f432002dc,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,FCAC,ACFC,224,46,fcac-acfc
0c38b176-a05c-4462-8f16-ae8335f1a332,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,FINTRAC,CANAFE,127,16,fintrac-canafe
a7efe0ac-4768-42af-b29f-ff7f8deb5c8f,First Nations Financial Management Board,Conseil de gestion financière des premières nations,FNFMB,CGFPN,,316,fnfmb-cgfpn
c649b007-b104-40de-8917-a951a8dd3369,First Nations Statistical Institute,Institut de la statistique des premières nations,FNSI,ISPN,120,317,fnsi-ispn
d9b68c15-0ffc-574a-964f-1180d034c2ae,First Nations Tax Commission,Commission de la fiscalité des premières nations,FNTC,CFPN,112,318,fntc-cfpn
e56460a0-2055-4bf4-a693-ea238e0746e7,Fisheries and Oceans Canada,Pêches et Océans Canada,DFO,MPO,253,31,dfo-mpo
532d7148-51c2-458b-96c5-04de52571fb0,Freshwater Fish Marketing Corporation,Office de commercialisation du poisson d'eau douce,FFMC,OCPED,252,182,ffmc-ocped
91894681-59ce-4790-b4fb-ca364d9a62e4,Galvaude Private Investments Inc.,Galvaude Private Investments Inc.,GPI,GPI,,494,gpi
d7c2580f-89c5-4705-9d56-6b0e8e5d9538,Global Affairs Canada,Affaires mondiales Canada,DFATD,MAECD,64,41,dfatd-maecd
962985bb-8a54-425e-9783-4d67466cb531,Government of British Columbia,Gouvernment de la Colombie-Britannique,BC,CB,,,bc-cb
10eb8042-b537-4f32-a668-f62a30573662,Government of Newfoundland and Labrador,Gouvernment de Terre-Neuve-et-Labrador,NL,TNL,,,nl-tnl
27ca7128-0049-4a9f-a252-61503a82c25f,Government of Nova Scotia,Gouvernment de la Nouvelle-Écosse,NS,NE,,,ns-ne
dbbc4d72-a589-4ee5-bb0b-8de78ff8df65,Government of Ontario,Gouvernement de l'Ontario,ON,ON,,,on
9f31d80d-3104-46ff-a67b-65de82c9907b,Government of Prince Edward Island,Gouvernement de l'Île-du-Prince-Édouard,PEI,IPE,,,pei-ipe
965fe090-6987-47c4-aed2-1913df20bf84,Government of Saskatchewan,Gouvernement de la Saskatchewan,SK,SK,,,sk
2f265480-9433-4458-9b0c-cb3e4872c89b,Great Lakes Pilotage Authority Canada,Administration de pilotage des Grands Lacs Canada,GLPA,APGL,261,184,glpa-apgl
3a79a5d1-58c1-4e5f-8971-b38807fc0532,Gwich'in Land and Water Board,Office Gwich'in des terres et des eaux,GLWB,OGTE,,574,glwb-ogte
48a85098-d1e8-4b23-a80d-da317d06d447,Gwich'in Land Use Planning Board,Office Gwich'in d'aménagement territorial,GLUPB,OGAT,,575,glupb-ogat
a88243b5-40f8-4f3c-8a6c-045ef1e44f6d,Halifax Port Authority,Administration portuaire de Halifax,HALPA,APHAL,,190,halpa-aphal
aaf80f1a-83e3-4a5d-a730-4f653e927e2a,Hamilton-Oshawa  Port Authority,Administration portuaire de Hamilton-Oshawa,HAMPA,APHAM,,191,hampa-apham
a1a99158-c6cb-44f3-a1a9-0b474776e7a0,Hazardous Materials Information Review Commission Canada,Conseil de contrôle des renseignements relatifs aux matières dangereuses Canada,HMIRC,CCRMD,49,319,hmirc-ccrmd
bd26db5e-82d2-42c1-99bb-08fcf6068fee,Health Canada,Santé Canada,HC,SC,271,107,hc-sc
d052a5e1-3944-4bd3-8ac4-efafb45d2938,Historic Sites and Monuments Board of Canada,Commission des lieux et monuments historiques du Canada,HSMBC,CLMHC,,576,hsmbc-clmhc
b32aa675-0c0e-47c6-b716-9f615625b5e1,House of Commons,Chambre des communes,HoC,CdC,,,hoc-cdc
26f0d053-27f8-4ede-b279-156e80c41a90,Human Rights Tribunal of Canada,Tribunal des droits de la personne du Canada,HRTC,TDPC,164,310,hrtc-tdpc
8256eebf-3548-44d1-b92a-4f40f858e4e3,Human Rights Tribunal,Tribunal des droits de la personne,CHRT,TCDP,,310,chrt-tcdp
e93d81b4-c6fc-475e-904a-825f56a4902f,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,IRB,CISR,5,67,irb-cisr
51383040-f4f9-4b96-9e6b-2d70aafb522a,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",CIC,CIC,94,61,cic
04f792c7-7836-4581-94ed-00bccb22ab5d,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada,IAAC,AEIC,270,37,iaac-aeic
179e0e74-4715-476e-8afa-7f6a2354c819,Indian Residential Schools Truth and Reconciliation Commission,Commission de vérité et de réconciliation relative aux pensionnats indiens,IRSTRC,CVRRPI,245,68,irstrc-cvrrpi
cf163898-48e7-456f-9cb1-c992208bde3b,Indigenous Services Canada,Services aux Autochtones Canada,ISC,SAC,45371,577,isc-sac
5f4f2400-1614-48e8-a258-d03c07349407,Indo-Infra Inc.,Indo-Infra Inc.,IINFRA,IINFRA,,495,iinfra
194bd079-f5dd-4fc8-82b2-5fcde3f4a765,Infra H20 GP Partners Inc.,Infra H20 GP Partners Inc.,IHGP,IHGP,,496,ihgp
bb24ae53-ac26-4ffc-8d69-be6a9c156ca5,Infra H20 LP Partners Inc.,Infra H20 LP Partners Inc.,IHLP,IHLP,,497,ihlp
