GC OrgID,legal_title,appellation_légale,FAA_LGFP,preferred_name,nom_préféré,abbreviation,abreviation,status_statut,end_date_fin,harmonized_name,nom_harmonisé
3399,African Development Bank,Banque africaine de développement,,,,,,a,,African Development Bank,Banque africaine de développement
3400,Asian Development Bank,Banque asiatique de développement,,,,,,a,,Asian Development Bank,Banque asiatique de développement
3401,Caribbean Development Bank,Banque de développement des Caraïbes,,,,,,a,,Caribbean Development Bank,Banque de développement des Caraïbes
3402,European Bank for Reconstruction and Development,Banque européenne pour la reconstruction et le développement,,,,,,a,,European Bank for Reconstruction and Development,Banque européenne pour la reconstruction et le développement
3403,Inter-American Development Bank,Banque interaméricaine de développement,,,,,,a,,Inter-American Development Bank,Banque interaméricaine de développement
3404,International Bank for Reconstruction and Development,Banque internationale pour la reconstruction et le développement,,,,,,a,,International Bank for Reconstruction and Development,Banque internationale pour la reconstruction et le développement
3405,International Development Association,Association internationale de développement,,,,,,a,,International Development Association,Association internationale de développement
3406,International Finance Corporation,Société financière internationale,,,,,,a,,International Finance Corporation,Société financière internationale
3407,International Joint Commission (Canadian Section),Commission mixte internationale (section canadienne),4,,,,,a,,International Joint Commission (Canadian Section),Commission mixte internationale (section canadienne)
3408,International Lake Memphremagog Levels Board,Commission internationale du lac Memphrémagog,,,,,,a,,International Lake Memphremagog Levels Board,Commission internationale du lac Memphrémagog
3409,International Lake of the Woods Control Board,Conseil international de contrôle du lac des Bois,,,,,,a,,International Lake of the Woods Control Board,Conseil international de contrôle du lac des Bois
3410,International Monetary Fund,Fonds monétaire international,,,,,,a,,International Monetary Fund,Fonds monétaire international
3411,Multilateral Investment Guarantee Agency,Agence multilatérale de garantie des investissements,,,,,,a,,Multilateral Investment Guarantee Agency,Agence multilatérale de garantie des investissements
3412,Joint Public Advisory Committee (JPAC) of the Commission for Environmental Cooperation (CEC),Comité consultatif public mixte (CCPM) de la Commission de coopération environnementale (CCE),,,,,,a,,Joint Public Advisory Committee (JPAC) of the Commission for Environmental Cooperation (CEC),Comité consultatif public mixte (CCPM) de la Commission de coopération environnementale (CCE)
3413,World Anti-Doping Agency,Agence mondiale antidopage,,,,,,a,,World Anti-Doping Agency,Agence mondiale antidopage
3414,Asian Infrastructure Investment Bank,Banque asiatique d'investissement dans les infrastructures,,,,,,a,,Asian Infrastructure Investment Bank,Banque asiatique d'investissement dans les infrastructures
3415,Lower Churchill Development Corporation Limited,Lower Churchill Development Corporation Limited,,,,,,a,,Lower Churchill Development Corporation Limited,Lower Churchill Development Corporation Limited
3416,North Portage Development Corporation (operating as The Forks North Portage Partnership),North Portage Development Corporation (exploitée sous le nom de The Forks North Portage Partnership),,,,,,a,,North Portage Development Corporation (operating as The Forks North Portage Partnership),North Portage Development Corporation (exploitée sous le nom de The Forks North Portage Partnership)
3417,Communication Canada,Communication Canada,4,,,,,a,,Communication Canada,Communication Canada
3418,Office of the Superintendent of Bankruptcy,Bureau du surintendant des faillites,4,,,,,a,,Office of the Superintendent of Bankruptcy,Bureau du surintendant des faillites
3419,Prairie Farm Rehabilitation Administration,Administration du rétablissement agricole des Prairies,4,,,,,a,,Prairie Farm Rehabilitation Administration,Administration du rétablissement agricole des Prairies
3420,Commissioner of Canada Election,Commissaire aux élections fédérales,,,,,,a,,Commissioner of Canada Election,Commissaire aux élections fédérales
3421,Canada Investment and Savings,Placements Épargne Canada,5,,,,,a,,Canada Investment and Savings,Placements Épargne Canada
