gc_orgID,rg,harmonized_name,nom_harmonisé,Abbreviation,Abreviation,infobaseID,website,site_web,open_gov_ouvert,ati,pop,phoenix
2281,96,Office of the Information Commissioner,Commissariat à l'information au Canada,,,0,,,oic-ci,Office of the Information Commissioner of Canada,IPC,IPC00
2281,96,Office of the Information Commissioner,Commissariat à l'information au Canada,,,0,,,oic-ci,Office of the Information Commissioner of Canada,IPC,IPC00
2282,96,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada,,,0,,,opc-cpvp,Office of the Privacy Commissioner of Canada,OPC,IPC00
2282,96,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada,,,0,,,opc-cpvp,Office of the Privacy Commissioner of Canada,OPC,IPC00
2282,96,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada,,,0,,,opc-cpvp,Office of the Privacy Commissioner of Canada,OPC,IPC00
2283,109,Patented Medicine Prices Review Board Canada,Conseil d'examen du prix des médicaments brevetés Canada,PMPRB,CEPMB,266,www.pmprb-cepmb.gc.ca,www.pmprb-cepmb.gc.ca,pmprb-cepmb,Patented Medicine Prices Review Board,PXR,PXR00
2284,25,Privy Council Office,Bureau du Conseil privé,PCO,BCP,278,www.pco-bcp.gc.ca,www.pco-bcp.gc.ca,pco-bcp,Privy Council Office,PCO,PCO00
2285,148,Public Health Agency of Canada,Agence de la santé publique du Canada,PHAC,ASPC,280,www.phac-aspc.gc.ca,www.phac-aspc.gc.ca,phac-aspc,Public Health Agency of Canada,AHS,AHS00
2286,4,Public Service Commission of Canada,Commission de la fonction publique du Canada,PSC,CFP,282,https://www.canada.ca/en/public-service-commission.html,https://www.canada.ca/fr/commission-fonction-publique.html,psc-cfp,Public Service Commission of Canada,PSC,PSC00
2287,80,Registrar of the Supreme Court of Canada,Registraire de la Cour suprême du Canada,,,288,www.scc-csc.ca,www.scc-csc.ca,,Not Found,SUC,
2288,30,Royal Canadian Mounted Police,Gendarmerie royale du Canada,RCMP,GRC,295,www.rcmp-grc.gc.ca,www.rcmp-grc.gc.ca,rcmp-grc,Royal Canadian Mounted Police,RCM,RCM00
